src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
192.168.1.192,34.148.186.149,53207,5938,17,2025-06-22 12:43:09,91.65599,5071.31066938451,21.14428091388244,19.584099195262635,1.5601817186198086,1795,143,427978,36838,506,58,238.42785515320335,72.09251023435016,1434,58,257.6083916083916,474.5455394590597,1434,58,239.84313725490196,146.4766811425539,21455.418118537404,14360,1144,8,1795,0.0473185286525555,0.073881,0.0,0.01881893873230235,91.65599,0.073881,1e-05,0.051090295429208475,0.015870362753836555,90.56321299999999,1.005342,0.0,0.6377691056338027,0.3874920665730672,0,0,0,0,0,0,0,0,0,0,0,0.07966573816155989,239.84313725490196,0,0,0,0,0,0,0,0,0,0,2971.864406779661,15.110169491525424,27840.0,20.0,4122.134660622765587726796604,5319067.634696217042414978984,238.42785515320335,257.6083916083916,0,1795,143,427978,36838
192.168.1.192,34.148.186.149,54834,5938,6,2025-06-22 12:43:09,91.650556,37119.63296763852,129.4482054205978,71.33617389075087,58.11203152984692,6538,5326,2816337,585698,1474,66,430.764301009483,517.603346686484,11330,66,109.9695831768682,192.8483461620503,11330,66,286.752781523938,435.6555221472905,189795.73397742835,130760,106520,20,4889,0.007725486554834359,1.181647,-0.000399,0.0384605749343928,91.55185399999971,1.191188,3e-06,0.014005178828208658,0.05266720805052444,91.63335399999981,1.237125,0.0,0.01720814159624413,0.05918874762392972,3924,3269,0,0,0,0,0,7193,11864,0,0,0.8146222086264913,286.752781523938,5483,3930,0,0,0,0,0,0,0,0,4317.344988344988,6.997668997668998,559.0972972972972,6.594594594594595,642709.7383586262465867319691,3615.068038933674285560701831,430.764301009483,109.9695831768682,0,6538,5326,2816337,585698
192.168.1.192,13.107.246.41,58336,443,6,2025-06-22 12:43:09,90.042898,709.1619818811251,0.566396696827772,0.24432798686688206,0.32206870996089,22,29,4864,58991,1514,66,221.0909090909091,356.94816393355654,7306,66,2034.1724137931035,2147.98179644514,7306,66,1252.0588235294117,1866.7737022369156,3484844.0553633207,440,580,20,7,1.8008579599999999,46.132159,0.0,8.817110314595187,90.037557,46.132159,2.9e-05,4.287502714285715,13.208502587106926,90.036469,46.138536,0.0,3.215588178571429,11.588624918643308,6,18,0,0,2,2,0,24,50,0,0,1.3181818181818181,1252.0588235294117,64240,83,0,0,0,0,0,0,0,0,0,0,56555.0,17.0,0,2025463.791991977652030656830,221.0909090909091,2034.1724137931035,0,22,29,4864,58991
192.168.1.200,255.255.255.255,53237,6667,17,2025-06-22 12:43:10,90.11276,45.121245870174214,0.2108469433185711,0.2108469433185711,0.0,19,0,4066,0,214,214,214.0,0.0,0,0,0,0.0,214,214,214.0,0.0,0.0,152,0,8,19,5.006264444444445,5.120749,4.914515,0.1013192752766237,90.11276000000001,5.120749,4.914515,5.006264444444445,0.1013192752766237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,214.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214.0,0,0,19,0,4066,0
192.168.1.215,255.255.255.255,49154,6667,17,2025-06-22 12:43:09,99.943695,46.025914891379585,0.20011267344078082,0.20011267344078082,0.0,20,0,4600,0,230,230,230.0,0.0,0,0,0,0.0,230,230,230.0,0.0,0.0,160,0,8,20,5.26019447368421,10.035641,4.915211,1.1296999287224518,99.94369499999999,10.035641,4.915211,5.26019447368421,1.1296999287224518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,230.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230.0,0,0,20,0,4600,0
192.168.1.192,52.168.117.168,43934,443,6,2025-06-22 12:43:18,103.291887,192.78377594166713,0.4259773083630469,0.2613951664955061,0.16458214186754086,27,17,18330,1583,1494,66,678.8888888888889,641.4837738390313,164,66,93.11764705882354,40.36434412717007,1494,66,452.5681818181818,578.3535564517008,334492.83626033063,540,340,20,19,2.4021369069767444,46.280012,4e-06,9.60617726553299,103.273112,46.280012,4e-06,3.972042769230769,12.104567534053706,103.270986,46.346045,0.000988,6.4544366250000005,14.913037085720115,12,6,0,0,0,0,0,18,44,0,0,0.6296296296296297,452.5681818181818,501,16384,0,0,0,0,0,0,0,0,5872.5,5.5,0,0,4241603.466955579631635969664,0,678.8888888888889,93.11764705882354,0,27,17,18330,1583
192.168.1.112,255.255.255.255,9487,9478,17,2025-06-22 12:43:17,120.014267,2.0497563010571067,0.024997028061672033,0.024997028061672033,0.0,3,0,246,0,82,82,82.0,0.0,0,0,0,0.0,82,82,82.0,0.0,0.0,24,0,8,3,60.007133499999995,60.21134,59.802927,0.2042065000000015,120.01426699999999,60.21134,59.802927,60.007133499999995,0.2042065000000015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,82.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.0,0,0,3,0,246,0
192.168.1.112,255.255.255.255,9999,9999,17,2025-06-22 12:43:22,120.015994,1.7747634536110244,0.024996668360718653,0.024996668360718653,0.0,3,0,213,0,71,71,71.0,0.0,0,0,0,0.0,71,71,71.0,0.0,0.0,24,0,8,3,60.007997,60.009093,60.006901,0.00109600000000043,120.015994,60.009093,60.006901,60.007997,0.00109600000000043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,71.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.0,0,0,3,0,213,0
192.168.1.192,162.250.6.135,47518,5938,6,2025-06-22 12:43:44,110.066264,11.338624158261608,0.14536697638796933,0.07268348819398467,0.07268348819398467,8,8,648,600,90,66,81.0,11.61895003862225,90,66,75.0,11.61895003862225,90,66,78.0,12.0,144.0,160,160,20,5,7.337750933333334,49.939027,0.0,16.79321830044849,110.066264,50.000067,0.020494,15.723752000000001,21.775978646304623,110.045466,49.961511,0.0,15.720780857142858,21.756190249572896,5,3,0,0,0,0,0,8,16,0,0,1.0,78.0,501,1432,0,0,0,0,44.938876,5.000151,31.625939333333335,18.827275484969643,0,0,0,0,0,0,81.0,75.0,0,8,8,648,600
192.168.1.112,224.0.0.251,5353,5353,17,2025-06-22 12:44:04,96.470823,18.84507609103739,0.10365828432913857,0.10365828432913857,0.0,10,0,1818,0,406,77,181.8,125.31464399662156,0,0,0,0.0,406,77,181.8,125.31464399662156,15703.76,80,0,8,10,10.718980333333331,95.438249,0.001747,29.953521403087993,96.47082299999998,95.438249,0.001747,10.718980333333331,29.953521403087993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,181.8,0,0,0,0,0,0,0,0,0,0,699.0,5.0,0,0,1353.898122555865245493301206,0,181.8,0,0,10,0,1818,0
192.168.1.172,224.0.0.251,5353,5353,17,2025-06-22 12:44:05,97.281987,9.333690932937051,0.04111758120236586,0.04111758120236586,0.0,4,0,908,0,263,191,227.0,36.0,0,0,0,0.0,263,191,227.0,36.0,1296.0,32,0,8,4,32.42732900000001,96.666109,0.205848,45.423753437224015,97.28198700000002,96.666109,0.205848,32.42732900000001,45.423753437224015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,227.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,227.0,0,0,4,0,908,0
